Year,Disaster Subgroup,Disaster Type,Disaster Subtype,Location,Origin,Dis Mag Value,Dis Mag Scale,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,Total Affected,CPI,Adm Level,Geo Locations
2017,Meteorological,Storm,Tropical cyclone,"Swandip, Anwara, Lohogara, Bashkhali, Sitakunda, Mirsarai, Chandanaish, Karnaphuli Thana (Chittagong district); Cohokoria, Teknaf, Moheshkhali, Kutubdia, Pekua, Ramu, Ukhiya, Shah Parir Dwip, Saint Martin’s island (Cox's Bazar district); Rangamati district (All upazillas); Nikonchori (Bandarban district); Bhola district. Khagrachhari, Feni, Noakhali districts",notgiven,135.0,Kph,2017,5.0,30.0,2017,5.0,30.0,7.0,12.0,3300000.0,3300012.0,83.7572545519631,2,"Bandarban, Bhola, Chittagong, Cox's Bazar, Feni, Khagrachhari, Noakhali, Rangamati (Adm2)."
2017,Biological,Epidemic,Bacterial disease,Cox’s Bazar,notgiven,notgiven,Vaccinated,2017,11.0,3.0,2017,12.0,12.0,15.0,789.0,notgiven,789.0,83.7572545519631,,
2017,Hydrological,Flood,,"Dinajpur, Kurigram, Lalmonirhat, Nilphamari, Chapainawabganj, Moulvibazar, Jessore, Sylhet, Gaibandha, Sunamganj, Mymensingh, Thakurgaon, Jamalpur, Joypurhat, Naogaon, Panchagarh, Bogra, Tangail, Rangamati, Comilla, Dhaka, Faridpur, Madaripur, Brahamanbaria, Munshiganj, Natore, Sirajganj, Rangpur, Sherpur, Netrakona, Chandpur, Rajshahi",Late monsoon rains,notgiven,Km2,2017,8.0,10.0,2017,8.0,31.0,144.0,notgiven,8000000.0,8000000.0,83.7572545519631,2,"Bogra, Brahamanbaria, Chandpur, Comilla, Dhaka, Dinajpur, Faridpur, Gaibandha, Jamalpur, Jessore, Joypurhat, Kurigram, Lalmonirhat, Madaripur, Manikganj, Maulvibazar, Munshiganj, Mymensingh, Naogaon, Natore, Nawabganj, Nilphamari, Panchagarh, Rajbari, Rajshahi, Rangamati, Rangpur, Sirajganj, Sunamganj, Sylhet, Tangail, Thakurgaon (Adm2)."
2018,Hydrological,Flood,,"Cox’s Bazar,Rangamati",notgiven,notgiven,Km2,2018,6.0,5.0,2018,6.0,14.0,14.0,notgiven,notgiven,notgiven,85.8030260572654,2,"Cox's Bazar, Rangamati (Adm2)."
2018,Meteorological,Storm,Convective storm,,notgiven,notgiven,Kph,2018,4.0,29.0,2018,4.0,30.0,33.0,notgiven,notgiven,notgiven,85.8030260572654,,
2018,Meteorological,Extreme temperature,Cold wave,,notgiven,3.0,°C,2018,1.0,1.0,2018,1.0,10.0,34.0,notgiven,notgiven,notgiven,85.8030260572654,2,"Bogra, Chuadanga, Dinajpur, Gaibandha, Jamalpur, Joypurhat, Kurigram, Kushtia, Lalmonirhat, Natore, Netrakona, Nilphamari, Pabna, Panchagarh, Rajshahi, Rangpur, Sirajganj, Thakurgaon (Adm2)."
2018,Hydrological,Flood,,,Torrential Rain,3882.0,Km2,2018,5.0,20.0,2018,5.0,22.0,21.0,notgiven,14000.0,14000.0,85.8030260572654,,
2019,Meteorological,Storm,Convective storm,Dhaka,notgiven,notgiven,Kph,2019,3.0,31.0,2019,3.0,31.0,15.0,notgiven,notgiven,notgiven,87.3580067738847,1,Dhaka (Adm1).
2019,Hydrological,Landslide,Landslide,Cox’s Bazar (Chittagong Division),Mosoon rains,notgiven,notgiven,2019,7.0,2.0,2019,7.0,8.0,2.0,16.0,18000.0,18016.0,87.3580067738847,2,Cox's Bazar (Adm2).
2019,Meteorological,Storm,Tropical cyclone,"Barguna, Kishoreganj,Noakhali, Laxmipur, Feni, Chandpur, Bhola, Patuakhali, Barishal, Pirozpur, Jhalokathi, Bagherhat, Khulna, Satkhira districts",notgiven,200.0,Kph,2019,5.0,4.0,2019,5.0,4.0,39.0,45.0,notgiven,10045.0,87.3580067738847,2,"Bagerhat, Barguna, Barisal, Bhola, Chandpur, Feni, Jhalokati, Khulna, Kishoreganj, Lakshmipur, Noakhali, Patuakhali, Pirojpur, Satkhira (Adm2)."
2019,Hydrological,Flood,,"Kurigram, Gaibandha, Lalmonirhat, Chattogram, Bandarban, Rangamati, Sylhet, Sunamganj, Bogura, Nilphamari, Khagrachari, Cox’s Bazar, Feni, Netrokona, Sirajganj, Jamalpur, Tangail, Moulavibazar, Habiganj, Sherpur, Brahmanbaria, Chandpur, Faridpur, Madaripur, Manikganj, Munshiganj, Rajbari, Shariatpur districts",Monsoon rains,notgiven,Km2,2019,6.0,notgiven,2019,7.0,28.0,114.0,notgiven,7600000.0,7600000.0,87.3580067738847,2,"Bogra, Brahamanbaria, Chandpur, Cox's Bazar, Faridpur, Feni, Habiganj, Jamalpur, Khagrachhari, Madaripur, Manikganj, Maulvibazar, Munshiganj, Netrakona, Nilphamari, Rajbari, Shariatpur, Sherpur, Sirajganj, Sunamganj, Tangail (Adm2)."
2019,Meteorological,Storm,Tropical cyclone,"Satkhira, Khulna, Bhola, Bagerhat,Patuakhlai, Barguna, Pirojpur districts",notgiven,130.0,Kph,2019,11.0,9.0,2019,11.0,10.0,40.0,71.0,251435.0,251506.0,87.3580067738847,2,"Bagerhat, Barguna, Bhola, Khulna, Patuakhali, Pirojpur, Satkhira (Adm2)."
2019,Meteorological,Extreme temperature,Cold wave,"Chuadanga, Dinajpur, Panchagarh, Rajshahi, Pabna, Naogaon, Nilphamari, Jessore, Kurigramare districts",notgiven,8.0,°C,2019,11.0,notgiven,2019,12.0,,50.0,4500.0,notgiven,4500.0,87.3580067738847,2,"Chuadanga, Dinajpur, Jessore, Kurigram, Naogaon, Nilphamari, Pabna, Panchagarh, Rajshahi (Adm2)."
2020,Hydrological,Flood,,"Jamalpur, Kurigram, Gaibandha, Tangail, Sylhet, Sirajganj, Bogura, Sunamganj, Sherpur, Netrokona, Lalmonirhat, Moulovi Bazar, Faridpur, Manikganj, Nilphamari Chapai Nawabganj, Rajbari and Kushtia",Monsoonal rains,notgiven,Km2,2020,6.0,15.0,2020,9.0,30.0,257.0,notgiven,5448271.0,5448271.0,88.4356408059336,1;2,"Sylhet (Adm1). Bogra, Faridpur, Gaibandha, Jamalpur, Kurigram, Kushtia, Lalmonirhat, Manikganj, Netrakona, Nilphamari, Rajbari, Sherpur, Sirajganj, Tangail (Adm2)."
2020,Meteorological,Storm,Tropical cyclone,"Cox's Bazar; Satkhira, Jashore, Khulna, Barguna, Bagerhat, Patuakhali, Bhola, Pirojpur districts",notgiven,notgiven,Kph,2020,5.0,20.0,2020,5.0,20.0,26.0,notgiven,2600000.0,2600000.0,88.4356408059336,1;2,Khulna (Adm1). Cox's Bazar (Adm2).
2021,Hydrological,Flood,,Cox’s Bazar,Heavy rains,notgiven,Km2,2021,7.0,27.0,2021,8.0,3.0,21.0,notgiven,268744.0,268744.0,92.5901929309929,2,Cox's Bazar (Adm2).
2021,Meteorological,Storm,Tropical cyclone,"Bhola, Patuakhali, Sathkira, Bagerhat, Barguna, Khulna, Jhalokathi, Barisal and Pirojpur",notgiven,150.0,Kph,2021,5.0,25.0,2021,5.0,29.0,3.0,notgiven,1300000.0,1300000.0,92.5901929309929,2,"Bagerhat, Barguna, Bhola, Jhalokati, Patuakhali, Pirojpur, Satkhira (Adm2)."
2022,Meteorological,Storm,Tropical cyclone,"Chittagong, Barisal",notgiven,95.0,Kph,2022,10.0,24.0,2022,10.0,25.0,35.0,notgiven,1000000.0,1000000.0,100.0,1,"Barisal, Chittagong (Adm1)."
2022,Hydrological,Flood,,"Shariatpur & Madaripur districts ; Kurigram, Gaibandha, Lalmonirhat, Nilphamari, Bogra, Jamalpur, and Sirajganj (Sylhet division); Zakigonj, Gowainghat, Jaintapur, Companiganj, Kurigram, Gaibandha, Rangpur, Lalmonirhat, Nilphamari, Bogra, Jamalpur, SirajganjDistricts (Sylhet Division); Sunamganj",Heavy rains,notgiven,Km2,2022,5.0,17.0,2022,9.0,30.0,141.0,notgiven,7200000.0,7200000.0,100.0,2,"Bogra, Gaibandha, Jamalpur, Kurigram, Lalmonirhat, Madaripur, Nilphamari, Shariatpur, Sirajganj (Adm2)."
